"number of pro sports teams per state";
"includes MLB MLB-C NFL  CFL NHL NBA MLS";
"source: http://en.wikipedia.org/wiki Major_professional_sports_teams_of_the_United_States_and_Canada";
;
;
"Arizona";"4	"
"California";18
"Colorado";"5	"
"Florida";"9	"
"Georgia";"4	"
"Illinois";"6	"
"Indiana";"2	"
"Kansas";"1	"
"Louisiana";"2	"
"Maryland";"2	"
"Massachusetts";5
"Michigan";"4	"
"Minnesota";"4	"
"Missouri";"5	"
"New Jersey";2
"New York";10
"North Carolina";3
"Ohio";"7	"
"Oklahoma";"1	"
"Oregon";"2	"
"Pennsylvania";"8	"
"Tennessee";"3	"
"Texas";"10	"
"Utah";"2	"
"Washington";"3	"
"Wisconsin";3
